epochs,MAE,MRSTFT
935,0.001862801,0.013918295
936,0.002334166,0.012537581
937,0.00261619,0.010019709
938,0.0017994,0.013126418
939,0.001689444,0.015502927
940,0.002955078,0.022000822
941,0.001798622,0.01103338
942,0.0009425,0.009601434
943,0.001155694,0.008199239
944,0.001662074,0.011315772
945,0.000973204,0.009774681
946,0.001314776,0.006087305
947,0.00159436,0.008488323
948,0.00165267,0.013639083
949,0.00135145,0.010128276
950,0.001433717,0.013064121
951,0.001570225,0.014677945
952,0.001914981,0.013555345
953,0.001581446,0.013291651
954,0.001251702,0.010649368
955,0.001773755,0.013140282
956,0.004685187,0.030292478
957,0.001000495,0.007894855
958,0.000497104,0.001950015
959,0.001302272,0.014042571
960,0.00094379,0.006710999
961,0.001485134,0.014143682
962,0.001054785,0.008123874
963,0.000893955,0.009142212
964,0.001792106,0.015066489
965,0.003590621,0.029182863
966,0.001132962,0.011169362
967,0.001726405,0.015787213
968,0.001265548,0.012809079
969,0.001344322,0.010695982
970,0.001105216,0.009763311
971,0.002294671,0.019568654
972,0.000522986,0.002495345
973,0.001278947,0.005851545
974,0.000920724,0.002593674
975,0.001785057,0.013714948
976,0.004431912,0.022544704
977,0.001542656,0.009415441
978,0.001030332,0.009694159
979,0.004452461,0.034729252
980,0.000922822,0.007270997
981,0.002502661,0.013931312
982,0.001454565,0.010721533
983,0.001157357,0.011361522
984,0.001506662,0.011463366
985,0.000929066,0.006729109
986,0.00108059,0.009244613
987,0.002580795,0.024914063
988,0.000537422,0.005450246
